------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yyyy Filter LowFrequencyExtension -----------
Serial Number: TAS1E25150490
Start Time 13:15:00
Start Date 3/28/2018
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:18:42
Download Date 3/30/2018
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3,vectormagnitude,timestamp
445,416,618,868,2018-03-28 17:24:00
883,525,1027,1453,2018-03-28 17:25:00
1710,384,926,1982,2018-03-28 17:26:00
856,736,868,1424,2018-03-28 17:27:00
945,1341,1126,1990,2018-03-28 17:28:00
457,341,560,799,2018-03-28 17:29:00
386,343,324,610,2018-03-28 17:30:00
277,378,323,569,2018-03-28 17:31:00
709,497,473,987,2018-03-28 17:32:00
893,639,824,1373,2018-03-28 17:33:00
1782,1705,2408,3447,2018-03-28 17:34:00
947,1092,1128,1833,2018-03-28 17:35:00
1252,1391,1232,2241,2018-03-28 17:36:00
2782,2725,3542,5264,2018-03-28 17:37:00
661,1117,686,1468,2018-03-28 17:38:00
297,393,185,526,2018-03-28 17:39:00
460,531,312,769,2018-03-28 17:40:00
948,164,441,1058,2018-03-28 17:41:00
632,748,560,1128,2018-03-28 17:42:00
1408,1457,1348,2434,2018-03-28 17:43:00
1306,1023,1258,2082,2018-03-28 17:44:00
2687,2806,3258,5070,2018-03-28 17:45:00
1095,1148,1307,2056,2018-03-28 17:46:00
1019,731,953,1575,2018-03-28 17:47:00
1214,861,2052,2535,2018-03-28 17:48:00
1350,1167,975,2033,2018-03-28 17:49:00
760,535,570,1090,2018-03-28 17:50:00
698,373,259,833,2018-03-28 17:51:00
1424,547,849,1746,2018-03-28 17:52:00
737,739,689,1251,2018-03-28 17:53:00
1439,892,1401,2198,2018-03-28 17:54:00
1517,627,910,1877,2018-03-28 17:55:00
756,633,534,1121,2018-03-28 17:56:00
812,610,313,1063,2018-03-28 17:57:00
985,1218,1232,1993,2018-03-28 17:58:00
2525,1942,2604,4114,2018-03-28 17:59:00
477,285,591,811,2018-03-28 18:00:00
318,178,178,406,2018-03-28 18:01:00
354,438,543,782,2018-03-28 18:02:00
215,129,73,261,2018-03-28 18:03:00
228,129,75,272,2018-03-28 18:04:00
252,234,137,370,2018-03-28 18:05:00
925,838,972,1582,2018-03-28 18:06:00
496,299,310,657,2018-03-28 18:07:00
129,81,18,153,2018-03-28 18:08:00
440,385,468,749,2018-03-28 18:09:00
559,125,387,691,2018-03-28 18:10:00
908,407,947,1374,2018-03-28 18:11:00
299,91,38,315,2018-03-28 18:12:00
234,171,182,342,2018-03-28 18:13:00
424,198,480,670,2018-03-28 18:14:00
193,329,404,556,2018-03-28 18:15:00
122,91,12,153,2018-03-28 18:16:00
355,803,659,1098,2018-03-28 18:17:00
171,183,230,340,2018-03-28 18:18:00
714,593,471,1041,2018-03-28 18:19:00
466,408,300,688,2018-03-28 18:20:00
768,818,978,1488,2018-03-28 18:21:00
620,545,651,1051,2018-03-28 18:22:00
942,483,958,1428,2018-03-28 18:23:00
558,1063,1176,1681,2018-03-28 18:24:00
412,276,174,526,2018-03-28 18:25:00
664,374,620,982,2018-03-28 18:26:00
787,647,769,1276,2018-03-28 18:27:00
655,642,1272,1568,2018-03-28 18:28:00
1137,552,754,1472,2018-03-28 18:29:00
171,152,32,231,2018-03-28 18:30:00
229,263,26,350,2018-03-28 18:31:00
371,257,268,525,2018-03-28 18:32:00
946,1229,1073,1886,2018-03-28 18:33:00
6,0,1,6,2018-03-28 18:34:00
219,810,459,956,2018-03-28 18:35:00
123,286,244,396,2018-03-28 18:36:00
1660,1802,1799,3040,2018-03-28 18:37:00
3284,2330,4332,5914,2018-03-28 18:38:00
444,615,767,1079,2018-03-28 18:39:00
1972,1394,1816,3022,2018-03-28 18:40:00
1183,1188,851,1880,2018-03-28 18:41:00
3445,3811,3744,6357,2018-03-28 18:42:00
2539,2903,4184,5690,2018-03-28 18:43:00
20,65,169,182,2018-03-28 18:44:00
3207,2745,2948,5149,2018-03-28 18:45:00
2030,1893,2359,3643,2018-03-28 18:46:00
426,456,401,742,2018-03-28 18:47:00
55,42,58,90,2018-03-28 18:48:00
2214,1608,3039,4089,2018-03-28 18:49:00
365,92,240,446,2018-03-28 18:50:00
871,886,1420,1887,2018-03-28 18:51:00
0,0,0,0,2018-03-28 18:52:00
1892,2829,2403,4166,2018-03-28 18:53:00
33,13,24,43,2018-03-28 18:54:00
9,0,7,11,2018-03-28 18:55:00
1175,549,1525,2002,2018-03-28 18:56:00
854,479,316,1029,2018-03-28 18:57:00
1916,913,1658,2693,2018-03-28 18:58:00
829,271,560,1036,2018-03-28 18:59:00
717,158,681,1001,2018-03-28 19:00:00
434,1,122,451,2018-03-28 19:01:00
422,874,327,1024,2018-03-28 19:02:00
49,0,12,50,2018-03-28 19:03:00
152,320,195,404,2018-03-28 19:04:00
21,2,6,22,2018-03-28 19:05:00
209,282,212,410,2018-03-28 19:06:00
0,0,4,4,2018-03-28 19:07:00
0,0,0,0,2018-03-28 19:08:00
0,0,0,0,2018-03-28 19:09:00
249,244,337,485,2018-03-28 19:10:00
1694,1186,1581,2603,2018-03-28 19:11:00
1128,978,1025,1811,2018-03-28 19:12:00
1348,706,481,1596,2018-03-28 19:13:00
1928,1247,1289,2633,2018-03-28 19:14:00
1288,1733,1809,2817,2018-03-28 19:15:00
2381,2592,2136,4117,2018-03-28 19:16:00
4980,4754,5868,9046,2018-03-28 19:17:00
5090,5378,5686,9336,2018-03-28 19:18:00
355,365,521,728,2018-03-28 19:19:00
197,4,246,315,2018-03-28 19:20:00
961,780,873,1515,2018-03-28 19:21:00
1308,729,894,1744,2018-03-28 19:22:00
271,68,292,404,2018-03-28 19:23:00
174,87,324,378,2018-03-28 19:24:00
230,193,261,398,2018-03-28 19:25:00
496,1,356,611,2018-03-28 19:26:00
1294,1504,1375,2414,2018-03-28 19:27:00
405,862,569,1109,2018-03-28 19:28:00
280,355,529,696,2018-03-28 19:29:00
1651,1254,1463,2537,2018-03-28 19:30:00
265,262,213,429,2018-03-28 19:31:00
316,364,166,510,2018-03-28 19:32:00
366,574,847,1087,2018-03-28 19:33:00
1073,886,1472,2026,2018-03-28 19:34:00
3198,4005,3116,5998,2018-03-28 19:35:00
3736,6128,4093,8262,2018-03-28 19:36:00
5008,7321,5646,10514,2018-03-28 19:37:00
3066,3185,3152,5430,2018-03-28 19:38:00
1438,1643,1442,2617,2018-03-28 19:39:00
429,442,504,796,2018-03-28 19:40:00
274,111,121,319,2018-03-28 19:41:00
204,59,83,228,2018-03-28 19:42:00
486,539,637,966,2018-03-28 19:43:00
226,160,266,384,2018-03-28 19:44:00
584,938,869,1406,2018-03-28 19:45:00
736,786,583,1224,2018-03-28 19:46:00
204,411,356,581,2018-03-28 19:47:00
138,98,51,177,2018-03-28 19:48:00
843,594,780,1293,2018-03-28 19:49:00
270,253,99,383,2018-03-28 19:50:00
0,0,10,10,2018-03-28 19:51:00
0,0,6,6,2018-03-28 19:52:00
0,0,0,0,2018-03-28 19:53:00
563,426,801,1068,2018-03-28 19:54:00
67,89,68,131,2018-03-28 19:55:00
206,199,116,309,2018-03-28 19:56:00
463,460,684,945,2018-03-28 19:57:00
201,58,92,229,2018-03-28 19:58:00
1950,2149,1974,3510,2018-03-28 19:59:00
251,330,198,459,2018-03-28 20:00:00
323,442,703,891,2018-03-28 20:01:00
0,0,0,0,2018-03-28 20:02:00
735,457,1075,1380,2018-03-28 20:03:00
1276,765,694,1642,2018-03-28 20:04:00
141,136,521,557,2018-03-28 20:05:00
595,9,293,663,2018-03-28 20:06:00
248,315,187,442,2018-03-28 20:07:00
129,408,514,669,2018-03-28 20:08:00
350,618,677,981,2018-03-28 20:09:00
0,0,0,0,2018-03-28 20:10:00
808,356,614,1075,2018-03-28 20:11:00
761,502,543,1061,2018-03-28 20:12:00
15,0,7,17,2018-03-28 20:13:00
175,14,84,195,2018-03-28 20:14:00
181,229,173,339,2018-03-28 20:15:00
812,291,292,911,2018-03-28 20:16:00
1028,630,711,1400,2018-03-28 20:17:00
375,480,613,864,2018-03-28 20:18:00
1849,1672,2001,3197,2018-03-28 20:19:00
112,83,67,155,2018-03-28 20:20:00
39,56,27,73,2018-03-28 20:21:00
1189,958,1189,1935,2018-03-28 20:22:00
1131,349,619,1336,2018-03-28 20:23:00
275,217,763,840,2018-03-28 20:24:00
111,335,50,356,2018-03-28 20:25:00
61,245,22,253,2018-03-28 20:26:00
996,1016,1308,1933,2018-03-28 20:27:00
485,636,371,882,2018-03-28 20:28:00
215,348,329,525,2018-03-28 20:29:00
546,709,641,1101,2018-03-28 20:30:00
1818,1516,1335,2718,2018-03-28 20:31:00
128,435,393,600,2018-03-28 20:32:00
598,896,1129,1560,2018-03-28 20:33:00
148,477,272,569,2018-03-28 20:34:00
223,164,128,305,2018-03-28 20:35:00
323,450,745,928,2018-03-28 20:36:00
16,74,28,81,2018-03-28 20:37:00
135,316,377,510,2018-03-28 20:38:00
780,442,612,1085,2018-03-28 20:39:00
571,877,1090,1511,2018-03-28 20:40:00
137,261,137,325,2018-03-28 20:41:00
175,250,93,319,2018-03-28 20:42:00
361,624,482,867,2018-03-28 20:43:00
1,2,6,6,2018-03-28 20:44:00
172,167,248,345,2018-03-28 20:45:00
395,382,1300,1411,2018-03-28 20:46:00
1210,1356,1167,2160,2018-03-28 20:47:00
34,109,180,213,2018-03-28 20:48:00
174,206,154,311,2018-03-28 20:49:00
604,356,1063,1273,2018-03-28 20:50:00
214,344,652,768,2018-03-28 20:51:00
163,414,120,461,2018-03-28 20:52:00
155,173,455,511,2018-03-28 20:53:00
0,0,98,98,2018-03-28 20:54:00
0,0,1,1,2018-03-28 20:55:00
109,38,310,331,2018-03-28 20:56:00
34,128,53,143,2018-03-28 20:57:00
380,257,875,988,2018-03-28 20:58:00
818,647,567,1187,2018-03-28 20:59:00
1606,1931,1485,2918,2018-03-28 21:00:00
22,0,83,86,2018-03-28 21:01:00
867,872,473,1317,2018-03-28 21:02:00
228,415,92,482,2018-03-28 21:03:00
1099,1006,715,1653,2018-03-28 21:04:00
508,505,192,742,2018-03-28 21:05:00
172,298,253,427,2018-03-28 21:06:00
304,248,415,571,2018-03-28 21:07:00
873,689,928,1448,2018-03-28 21:08:00
19,0,2,19,2018-03-28 21:09:00
240,314,192,439,2018-03-28 21:10:00
141,156,136,250,2018-03-28 21:11:00
290,323,365,567,2018-03-28 21:12:00
101,260,539,607,2018-03-28 21:13:00
835,455,1242,1564,2018-03-28 21:14:00
0,0,0,0,2018-03-28 21:15:00
292,377,41,479,2018-03-28 21:16:00
206,226,296,426,2018-03-28 21:17:00
176,168,261,357,2018-03-28 21:18:00
685,637,998,1368,2018-03-28 21:19:00
644,713,811,1257,2018-03-28 21:20:00
877,1277,1821,2391,2018-03-28 21:21:00
3227,3129,3436,5658,2018-03-28 21:22:00
2816,3564,2855,5365,2018-03-28 21:23:00
3774,4737,3641,7067,2018-03-28 21:24:00
2341,2821,2293,4324,2018-03-28 21:25:00
241,225,170,371,2018-03-28 21:26:00
237,81,473,535,2018-03-28 21:27:00
329,262,219,474,2018-03-28 21:28:00
34,3,104,109,2018-03-28 21:29:00
322,267,260,493,2018-03-28 21:30:00
1325,1774,1485,2666,2018-03-28 21:31:00
1158,1353,906,1998,2018-03-28 21:32:00
110,37,34,121,2018-03-28 21:33:00
2212,2140,2208,3788,2018-03-28 21:34:00
69,264,31,275,2018-03-28 21:35:00
537,477,913,1162,2018-03-28 21:36:00
168,56,587,613,2018-03-28 21:37:00
251,117,369,461,2018-03-28 21:38:00
963,1358,430,1719,2018-03-28 21:39:00
405,441,732,946,2018-03-28 21:40:00
87,43,71,120,2018-03-28 21:41:00
744,909,749,1393,2018-03-28 21:42:00
439,149,162,491,2018-03-28 21:43:00
391,724,871,1198,2018-03-28 21:44:00
670,1163,1974,2387,2018-03-28 21:45:00
216,86,263,351,2018-03-28 21:46:00
68,57,25,92,2018-03-28 21:47:00
759,416,645,1079,2018-03-28 21:48:00
561,790,345,1029,2018-03-28 21:49:00
190,325,417,562,2018-03-28 21:50:00
26,61,16,68,2018-03-28 21:51:00
472,457,1578,1709,2018-03-28 21:52:00
115,233,244,356,2018-03-28 21:53:00
841,1102,851,1627,2018-03-28 21:54:00
252,261,352,505,2018-03-28 21:55:00
523,730,821,1217,2018-03-28 21:56:00
281,405,712,866,2018-03-28 21:57:00
327,411,323,617,2018-03-28 21:58:00
363,199,864,958,2018-03-28 21:59:00
985,788,638,1414,2018-03-28 22:00:00
270,325,560,702,2018-03-28 22:01:00
397,384,772,949,2018-03-28 22:02:00
73,36,35,89,2018-03-28 22:03:00
686,350,597,974,2018-03-28 22:04:00
666,374,738,1062,2018-03-28 22:05:00
245,138,426,510,2018-03-28 22:06:00
66,94,75,137,2018-03-28 22:07:00
980,613,1130,1616,2018-03-28 22:08:00
31,88,20,95,2018-03-28 22:09:00
2626,3719,2293,5098,2018-03-28 22:10:00
4320,4408,5133,8027,2018-03-28 22:11:00
2416,3551,2426,4933,2018-03-28 22:12:00
3523,4945,5146,7959,2018-03-28 22:13:00
4552,5372,5766,9101,2018-03-28 22:14:00
1156,1493,1840,2636,2018-03-28 22:15:00
2260,1679,1735,3307,2018-03-28 22:16:00
381,290,451,658,2018-03-28 22:17:00
937,913,856,1563,2018-03-28 22:18:00
837,930,1209,1740,2018-03-28 22:19:00
799,778,1727,2056,2018-03-28 22:20:00
0,0,0,0,2018-03-28 22:21:00
961,509,1360,1741,2018-03-28 22:22:00
1449,1822,1561,2803,2018-03-28 22:23:00
58,67,21,91,2018-03-28 22:24:00
181,253,91,324,2018-03-28 22:25:00
363,153,103,407,2018-03-28 22:26:00
695,471,604,1034,2018-03-28 22:27:00
164,237,374,472,2018-03-28 22:28:00
15,41,18,47,2018-03-28 22:29:00
232,426,319,581,2018-03-28 22:30:00
222,340,246,475,2018-03-28 22:31:00
495,705,689,1103,2018-03-28 22:32:00
419,291,247,567,2018-03-28 22:33:00
529,459,1407,1572,2018-03-28 22:34:00
308,335,728,859,2018-03-28 22:35:00
239,296,465,601,2018-03-28 22:36:00
321,129,522,626,2018-03-28 22:37:00
77,297,89,319,2018-03-28 22:38:00
33,121,17,127,2018-03-28 22:39:00
61,96,68,133,2018-03-28 22:40:00
402,869,447,1057,2018-03-28 22:41:00
406,772,1327,1588,2018-03-28 22:42:00
82,288,97,315,2018-03-28 22:43:00
422,892,436,1079,2018-03-28 22:44:00
710,1494,1079,1975,2018-03-28 22:45:00
589,1064,392,1278,2018-03-28 22:46:00
1441,1168,1266,2246,2018-03-28 22:47:00
125,153,36,201,2018-03-28 22:48:00
614,610,500,1000,2018-03-28 22:49:00
576,388,528,872,2018-03-28 22:50:00
553,1173,877,1566,2018-03-28 22:51:00
61,246,164,302,2018-03-28 22:52:00
374,392,258,600,2018-03-28 22:53:00
581,1229,1058,1723,2018-03-28 22:54:00
288,465,303,625,2018-03-28 22:55:00
406,482,315,705,2018-03-28 22:56:00
743,941,865,1478,2018-03-28 22:57:00
576,483,727,1046,2018-03-28 22:58:00
944,1080,793,1639,2018-03-28 22:59:00
567,635,1431,1665,2018-03-28 23:00:00
445,341,472,733,2018-03-28 23:01:00
127,120,353,394,2018-03-28 23:02:00
641,1031,941,1536,2018-03-28 23:03:00
1004,993,1033,1750,2018-03-28 23:04:00
84,177,95,218,2018-03-28 23:05:00
288,269,365,537,2018-03-28 23:06:00
254,147,148,329,2018-03-28 23:07:00
96,483,207,534,2018-03-28 23:08:00
297,588,188,685,2018-03-28 23:09:00
204,497,156,559,2018-03-28 23:10:00
1140,1006,769,1704,2018-03-28 23:11:00
922,1137,1003,1775,2018-03-28 23:12:00
826,1016,1638,2097,2018-03-28 23:13:00
325,547,1206,1364,2018-03-28 23:14:00
435,556,636,950,2018-03-28 23:15:00
307,395,505,711,2018-03-28 23:16:00
660,765,596,1173,2018-03-28 23:17:00
