"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership"
147 1 1 6 1 56 1 1
147 2 2 6 1 52 2 1
148 1 1 1 1 64 1 1
148 2 2 1 1 62 2 1
149 1 1 1 1 49 1 2
149 2 2 1 1 45 2 2
149 3 1 1 1 11 3 2
149 4 2 1 1 9 3 2
150 1 1 1 1 54 1 1
150 2 2 1 1 54 2 1
150 3 2 1 1 26 3 1
151 1 2 1 1 49 1 1
151 2 2 1 1 17 3 1
152 1 1 1 1 66 1 1
152 2 2 1 1 64 2 1
153 1 2 1 1 43 1 2
153 2 2 1 1 19 3 2
153 3 1 1 1 16 3 2
154 1 1 1 1 66 1 1
154 2 2 1 1 68 2 1
155 1 2 1 1 67 1 1
155 2 1 1 1 76 2 1
156 1 2 1 1 51 1 1
156 2 1 1 1 67 2 1
156 3 1 1 1 16 3 1
157 1 1 1 1 34 1 1
157 2 2 1 1 33 2 1
157 3 1 1 1 12 3 1
157 4 1 1 1 9 3 1
157 5 2 1 1 9 3 1
158 1 2 1 1 59 1 2
158 2 1 1 1 45 2 2
159 1 1 1 1 48 1 1
159 2 2 1 1 51 2 1
159 3 1 1 1 15 3 1
160 1 1 1 5 66 1 1
160 2 2 1 5 67 2 1
160 3 2 1 5 83 6 1
161 1 2 1 2 30 1 2
161 2 1 1 2 7 3 2
161 3 1 1 2 35 11 2
162 1 2 1 1 30 1 2
162 2 1 1 2 31 11 2
163 1 1 1 1 61 1 1
163 2 2 1 1 55 2 1
163 3 1 1 1 23 3 1
164 1 2 1 1 27 1 2
164 2 1 1 1 45 11 2
165 1 2 1 1 64 1 1
165 2 1 1 1 65 2 1
166 1 2 1 1 56 1 1
166 2 1 1 1 65 2 1
167 1 2 1 1 52 1 1
167 2 2 1 1 50 11 1
168 1 1 1 1 55 1 1
168 2 2 1 1 52 2 1
169 1 1 1 2 32 1 2
169 2 1 1 2 7 3 2
169 3 2 1 2 33 7 2
170 1 2 1 1 25 1 2
170 2 1 1 1 25 11 2
171 1 1 1 1 41 1 1
171 2 2 1 1 41 2 1
171 3 2 1 1 9 3 1
172 1 2 3 1 35 1 2
172 2 2 8 1 4 3 2
173 1 1 1 1 63 1 1
173 2 2 1 1 62 2 1
174 1 2 2 1 50 1 2
174 2 1 2 1 19 3 2
174 3 1 2 1 17 3 2
175 1 1 1 1 48 1 1
175 2 1 1 1 17 3 1
176 1 1 1 1 31 1 2
176 2 2 1 1 30 11 2
177 1 1 1 1 55 1 1
177 2 2 1 1 52 2 1
177 3 1 1 1 22 3 1
178 1 2 1 1 48 1 1
178 2 1 1 1 53 2 1
178 3 2 1 1 15 3 1
178 4 1 1 1 13 3 1
179 1 2 1 1 69 1 1
179 2 1 1 1 77 2 1
180 1 2 2 1 47 1 2
180 2 1 2 1 26 3 2
180 3 2 2 1 22 3 2
180 4 2 2 1 7 9 2
180 5 2 8 1 3 9 2
180 6 2 2 1 2 9 2
181 1 2 1 2 63 1 1
181 2 1 1 2 62 2 1
182 1 1 2 1 59 1 1
182 2 2 2 1 56 11 1
183 1 2 1 1 43 1 1
183 2 1 1 1 19 3 1
184 1 1 1 1 35 1 1
184 2 2 1 1 34 2 1
184 3 1 1 1 3 3 1
184 4 1 1 1 2 3 1
185 1 1 1 1 64 1 1
185 2 2 1 1 65 2 1
186 1 1 1 1 75 1 1
186 2 2 1 1 75 2 1
187 1 2 1 1 77 1 1
187 2 1 1 1 77 2 1
188 1 2 1 1 33 1 1
188 2 1 1 1 31 2 1
189 1 2 2 1 53 1 1
189 2 2 2 1 19 3 1
189 3 2 2 1 18 12 1
190 1 1 1 1 55 1 2
190 2 2 1 1 50 2 2
190 3 2 1 1 17 3 2
191 1 1 1 1 50 1 1
191 2 2 1 1 58 2 1
191 3 2 1 1 18 3 1
191 4 1 1 1 16 3 1
192 1 1 1 1 58 1 1
192 2 2 1 1 54 2 1
193 1 1 7 2 77 1 1
193 2 2 7 2 73 2 1
194 1 1 1 1 71 1 1
194 2 2 1 1 70 2 1
195 1 1 1 1 39 1 1
195 2 2 1 1 41 2 1
195 3 2 1 1 6 3 1
195 4 2 1 1 5 3 1
196 1 2 1 1 86 1 1
196 2 2 1 1 55 3 1
196 3 2 1 1 18 9 1
196 4 2 1 1 1 10 1
197 1 1 1 3 48 1 1
197 2 2 1 3 50 2 1
197 3 2 1 3 8 3 1
197 4 2 1 3 18 3 1
198 1 2 1 1 60 1 1
198 2 2 1 1 72 12 1
199 1 2 1 1 36 1 1
199 2 1 1 1 35 2 1
199 3 2 1 1 5 3 1
199 4 2 1 1 2 3 1
200 1 1 1 1 39 1 1
200 2 2 1 1 43 11 1
201 1 1 1 1 61 1 1
201 2 2 1 1 61 2 1
201 3 1 1 1 25 3 1
202 1 2 1 1 52 1 2
202 2 1 1 1 52 2 2
202 3 2 1 1 15 3 2
203 1 1 1 1 61 1 1
203 2 2 1 1 63 2 1
204 1 2 1 1 20 1 2
204 2 1 1 2 1 3 2
204 3 1 1 2 23 11 2
205 1 1 1 1 55 1 1
205 2 2 1 1 47 2 1
205 3 2 1 1 24 3 1
205 4 2 1 1 18 3 1
206 1 1 1 1 57 1 1
206 2 2 1 1 65 11 1
207 1 2 2 1 51 1 1
207 2 1 2 1 65 2 1
208 1 1 1 1 53 1 1
208 2 2 1 1 44 2 1
208 3 1 1 1 16 3 1
209 1 2 1 1 82 1 1
209 2 1 1 1 85 2 1
210 1 2 1 1 51 1 1
210 2 2 1 1 15 3 1
211 1 1 1 1 57 1 1
211 2 2 1 1 62 2 1
212 1 2 1 1 42 1 2
212 2 2 8 1 47 11 2
213 1 1 2 1 44 1 2
213 2 2 2 1 58 2 2
214 1 2 1 1 59 1 1
214 2 2 1 1 59 11 1
215 1 1 1 1 76 1 1
215 2 2 1 1 72 2 1
215 3 2 1 1 91 6 1
216 1 2 1 1 47 1 1
216 2 1 1 1 51 2 1
216 3 2 1 1 19 3 1
217 1 2 1 1 56 1 1
217 2 1 1 1 49 2 1
217 3 1 1 1 24 3 1
218 1 2 1 1 66 1 1
218 2 1 1 1 32 3 1
219 1 1 1 1 61 1 1
219 2 2 1 1 60 2 1
220 1 1 1 1 60 1 1
220 2 2 1 1 59 2 1
221 1 2 3 1 52 1 1
221 2 2 3 1 90 5 1
222 1 2 2 1 51 1 1
222 2 1 2 1 31 3 1
222 3 2 2 1 17 3 1
222 4 2 2 1 29 7 1
222 5 2 2 1 67 5 1
222 6 1 8 1 4 9 1
223 1 2 2 1 62 1 1
223 2 2 2 1 54 7 1
223 3 1 2 1 59 10 1
224 1 1 1 1 52 1 1
224 2 2 1 1 47 2 1
224 3 2 1 1 19 3 1
224 4 2 1 1 16 3 1
224 5 2 1 1 14 3 1
224 6 1 1 1 9 3 1
225 1 1 1 1 79 1 1
225 2 2 1 1 78 2 1
226 1 1 1 1 54 1 1
226 2 2 1 1 54 2 1
227 1 2 2 1 56 1 2
227 2 2 2 1 19 9 2
228 1 2 2 1 47 1 1
228 2 1 1 1 49 2 1
228 3 2 8 1 30 3 1
229 1 1 2 1 66 1 1
229 2 2 2 1 65 2 1
229 3 1 2 1 36 3 1
230 1 2 1 1 54 1 1
230 2 1 1 1 54 2 1
230 3 2 1 1 18 3 1
230 4 2 1 1 15 3 1
231 1 2 1 1 55 1 1
231 2 1 1 1 55 2 1
231 3 2 1 1 25 3 1
231 4 2 1 1 20 3 1
232 1 1 1 1 71 1 1
232 2 2 1 1 65 2 1
233 1 1 2 1 73 1 1
233 2 2 2 1 72 2 1
234 1 1 1 1 75 1 1
234 2 2 1 1 72 2 1
235 1 1 3 1 50 1 1
235 2 2 1 1 48 2 1
235 3 1 3 1 21 3 1
235 4 2 1 1 19 3 1
235 5 2 3 1 17 3 1
235 6 1 1 1 15 3 1
236 1 1 6 1 36 1 1
236 2 2 6 1 37 2 1
236 3 1 6 1 8 3 1
236 4 2 6 1 3 3 1
237 1 2 1 1 56 1 1
237 2 2 1 1 78 5 1
238 1 2 1 1 32 1 2
238 2 1 1 1 34 2 2
238 3 2 1 1 1 3 2
239 1 1 1 1 55 1 1
239 2 2 1 1 44 2 1
240 1 1 1 1 60 1 1
240 2 2 1 1 59 2 1
241 1 1 1 1 70 1 2
241 2 2 1 1 70 2 2
242 1 1 1 2 44 1 1
242 2 2 1 2 40 2 1
242 3 2 1 2 16 3 1
242 4 1 1 2 9 3 1
243 1 1 1 1 49 1 1
243 2 1 1 1 11 3 1
243 3 1 1 1 9 3 1
244 1 1 1 1 35 1 1
244 2 2 1 1 33 2 1
244 3 1 1 1 14 3 1
244 4 2 1 1 9 3 1
245 1 1 1 1 49 1 1
245 2 2 1 1 51 2 1
246 1 2 1 1 50 1 1
246 2 1 1 1 62 2 1
246 3 1 1 1 24 3 1
247 1 1 1 1 83 1 1
247 2 2 1 1 80 2 1
248 1 2 8 3 43 1 2
248 2 1 2 1 54 2 2
248 3 2 2 3 5 3 2
248 4 1 2 3 4 3 2
248 5 2 2 3 3 3 2
249 1 2 1 5 25 1 1
249 2 2 1 5 7 3 1
249 3 1 1 5 29 11 1
250 1 2 1 1 45 1 2
250 2 2 1 1 18 3 2
251 1 2 1 1 49 1 1
251 2 1 1 1 55 11 1
252 1 2 1 1 24 1 1
252 2 1 1 1 24 2 1
253 1 2 7 2 25 1 2
253 2 2 7 2 7 3 2
253 3 2 7 2 3 3 2
253 4 1 7 2 31 11 2
254 1 2 1 1 57 1 2
254 2 1 1 1 4 9 2
255 1 1 1 1 47 1 2
255 2 2 1 1 45 2 2
255 3 2 1 1 21 3 2
255 4 2 1 1 19 3 2
255 5 1 1 1 16 3 2
255 6 2 1 1 11 3 2
256 1 2 1 1 49 1 2
256 2 1 1 1 49 2 2
256 3 1 1 1 25 3 2
257 1 2 1 1 44 1 1
257 2 1 1 1 44 2 1
257 3 1 1 1 13 3 1
257 4 1 1 1 10 3 1
258 1 1 1 1 58 1 1
258 2 2 1 1 58 2 1
259 1 1 1 1 60 1 2
259 2 1 1 1 57 11 2
260 1 2 1 1 43 1 1
260 2 2 1 1 3 3 1
260 3 1 1 1 35 11 1
261 1 1 1 1 74 1 1
261 2 2 1 1 70 2 1
262 1 1 7 5 41 1 1
262 2 2 7 5 31 2 1
262 3 1 7 5 11 3 1
262 4 2 7 5 3 3 1
263 1 2 2 1 58 1 1
263 2 1 2 1 58 2 1
264 1 1 1 1 28 1 2
264 2 2 1 4 1 3 2
264 3 2 1 4 25 11 2
265 1 2 1 1 59 1 1
265 2 1 1 2 62 2 1
265 3 2 5 1 85 5 1
265 4 2 1 2 14 9 1
266 1 2 1 1 50 1 1
266 2 2 8 1 30 3 1
266 3 2 1 1 25 4 1
267 1 2 1 1 38 1 2
267 2 1 1 1 39 2 2
267 3 2 1 1 19 3 2
267 4 1 1 1 14 3 2
267 5 1 1 1 12 3 2
268 1 1 6 1 48 1 1
268 2 2 6 1 47 2 1
268 3 1 6 1 13 3 1
