"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
121 3 1 1 NA 3 NA 2 2 NA 1 30
122 2 1 2 NA NA 2 NA 2 2 1 63
123 2 2 1 1 NA 2 1 NA NA NA 62
123 3 2 1 NA 30 NA 1 NA NA NA 62
123 4 1 1 NA 6 8 1 NA NA NA 62
124 2 1 NA NA NA 2 1 NA 1 2 53
125 2 1 1 1 33 12 NA 2 1 NA 26
126 2 2 2 1 28 3 1 2 2 1 54
127 2 NA 1 NA NA NA NA 1 1 1 56
127 3 NA 1 1 13 3 NA 1 1 1 56
128 2 2 1 1 70 2 NA 1 1 1 72
129 2 NA 1 NA 57 2 NA NA 1 1 66
130 2 NA 2 NA NA 2 NA 2 1 1 52
130 3 NA 2 1 30 3 NA 2 1 1 52
131 2 1 1 NA 59 2 1 NA NA NA 59
132 2 2 2 NA 59 2 1 NA 2 1 62
133 2 NA 1 NA 86 NA 2 2 NA NA 86
134 2 NA NA 1 30 11 1 1 2 1 33
135 2 2 1 1 21 12 2 NA NA 1 20
135 3 2 1 1 20 NA 2 NA NA 1 20
136 2 2 NA 2 NA 2 NA NA NA 2 76
137 2 2 NA 1 42 2 NA 1 NA NA 44
137 3 2 1 1 8 NA NA 1 NA NA 44
137 4 NA NA 1 5 3 NA 1 NA NA 44
138 2 1 1 NA NA 2 1 NA 1 2 52
139 2 2 NA 1 17 3 1 2 NA 1 43
140 2 2 1 1 NA 2 NA NA 1 1 43
140 3 2 1 NA NA 3 NA NA 1 1 43
140 4 NA 1 1 NA NA NA NA 1 1 43
141 2 2 2 1 16 NA NA 2 NA NA 37
141 3 2 2 NA 11 3 NA 2 NA NA 37
142 2 1 NA 1 21 3 NA 2 1 NA 50
142 3 1 NA 1 18 NA NA 2 1 NA 50
143 2 2 1 NA 66 2 NA 1 NA 1 73
144 2 2 1 NA 13 NA 2 2 1 2 70
144 3 1 1 NA 88 NA 2 2 1 2 70
145 2 2 NA 1 62 2 NA 1 NA 1 63
146 2 1 1 1 NA 2 2 2 NA NA 31
147 2 2 1 NA 44 NA 1 1 NA NA 50
148 2 2 NA 1 NA NA 1 1 1 1 74
149 2 2 NA NA 18 3 2 2 1 NA 41
150 2 NA 8 NA 11 3 1 1 NA 1 30
150 3 2 NA 1 NA 7 1 1 NA 1 30
151 2 1 NA 2 57 2 NA 2 7 2 52
151 3 1 NA 2 22 3 NA 2 7 2 52
152 2 2 NA 1 19 12 2 NA 1 NA 22
153 2 2 NA NA 57 3 1 2 1 1 81
154 2 2 1 1 51 12 NA NA 1 1 68
155 2 NA NA 1 30 2 2 NA 1 1 30
155 3 NA NA 1 2 NA 2 NA 1 1 30
156 2 NA NA 1 NA 2 1 2 NA NA 52
156 3 2 1 1 14 NA 1 2 NA NA 52
156 4 2 NA 1 NA 7 1 2 NA NA 52
157 2 2 NA NA 18 NA NA 2 1 2 47
157 3 1 1 2 9 3 NA 2 1 2 47
157 4 2 1 NA 7 NA NA 2 1 2 47
158 2 2 1 1 43 2 1 NA 1 1 47
158 3 1 1 1 12 NA 1 NA 1 1 47
158 4 NA NA 1 10 NA 1 NA 1 1 47
159 2 2 NA 1 19 12 2 1 1 1 25
160 2 2 1 1 45 2 1 1 NA NA 46
160 3 1 1 1 8 NA 1 1 NA NA 46
160 4 NA 1 1 5 3 1 1 NA NA 46
161 2 NA 1 2 NA 3 2 1 1 2 26
161 3 2 1 2 6 3 2 1 1 2 26
161 4 2 1 NA 19 12 2 1 1 2 26
162 2 NA 1 1 NA NA 1 1 1 NA 85
