"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
2703 2 2 NA 1 NA 2 NA 1 NA NA 65
2704 2 2 1 1 69 2 1 1 1 1 81
2705 2 2 NA 1 NA 2 NA 1 1 1 44
2705 3 1 1 NA 18 3 NA 1 1 1 44
2705 4 1 1 NA 14 NA NA 1 1 1 44
2706 2 1 NA 1 76 2 1 2 1 1 73
2707 2 1 2 1 22 NA NA 2 2 1 55
2708 2 NA NA 1 NA 4 1 2 NA 1 89
2709 2 1 NA 1 NA 2 2 2 8 1 30
2709 3 2 8 1 2 NA 2 2 8 1 30
2710 2 NA 2 NA 62 12 2 NA NA 1 57
2711 2 2 NA 1 74 2 NA NA 1 1 73
2712 2 1 NA 1 NA 2 1 NA NA 1 39
2712 3 1 NA NA 12 3 1 NA NA 1 39
2712 4 1 NA 1 NA NA 1 NA NA 1 39
2713 2 1 1 1 71 2 NA 2 NA NA 71
2714 2 2 1 1 NA 2 NA 1 1 1 58
2714 3 NA 1 1 15 3 NA 1 1 1 58
2715 2 2 1 NA 72 NA 1 NA NA NA 69
2716 2 NA NA 1 NA 2 NA 2 NA NA 87
2717 2 2 2 1 22 13 2 2 2 NA 41
2718 2 2 1 1 65 2 1 1 1 1 73
2719 2 NA 2 NA 32 3 NA 2 2 NA 60
2720 2 1 NA 1 59 2 1 2 1 1 59
2721 2 NA 1 NA 46 2 1 NA 1 NA 47
2722 2 NA 1 1 57 2 1 NA 1 NA 59
2722 3 1 1 1 24 4 1 NA 1 NA 59
2723 2 2 NA 1 52 NA 1 NA 1 1 58
2724 2 1 NA 1 18 NA 1 NA 2 1 62
2724 3 1 2 1 17 NA 1 NA 2 1 62
2725 2 NA 1 1 NA 2 1 NA NA 1 53
2726 2 2 2 1 13 3 2 NA 2 1 40
2726 3 1 2 NA 40 12 2 NA 2 1 40
2727 2 NA NA 1 11 3 NA 2 NA 1 36
2728 2 2 NA NA NA 2 1 NA 1 1 73
2729 2 2 1 1 NA 2 1 1 1 1 69
2730 2 2 1 NA 34 2 1 1 4 1 33
2730 3 2 8 NA 3 3 1 1 4 1 33
2731 2 2 NA 1 11 3 2 2 NA NA 39
2731 3 NA 2 1 NA 4 2 2 NA NA 39
2732 2 1 1 NA 57 6 NA 2 1 3 55
2732 3 2 NA NA NA NA NA 2 1 3 55
2733 2 1 2 1 21 8 2 NA 2 1 64
2734 2 1 1 1 NA 2 1 2 1 1 42
2734 3 2 NA 1 20 3 1 2 1 1 42
2735 2 2 1 1 63 NA 1 1 1 1 64
2736 2 2 1 1 37 2 NA 1 1 1 39
2736 3 NA 1 1 9 3 NA 1 1 1 39
2736 4 NA 1 1 NA NA NA 1 1 1 39
2737 2 2 1 NA NA 2 1 NA 1 NA 39
2737 3 2 NA NA 6 NA 1 NA 1 NA 39
2737 4 NA 1 NA 3 3 1 NA 1 NA 39
2738 2 1 2 1 59 2 NA 2 2 NA 51
2738 3 1 NA 1 25 3 NA 2 2 NA 51
2738 4 1 2 1 12 3 NA 2 2 NA 51
2739 2 2 1 NA 59 NA NA 1 NA 1 63
2740 2 2 1 NA 26 NA 1 NA NA 1 40
2740 3 2 1 1 14 3 1 NA NA 1 40
2740 4 1 1 1 9 NA 1 NA NA 1 40
2741 2 1 NA 1 5 3 1 NA 1 1 27
2741 3 2 1 NA 1 3 1 NA 1 1 27
2742 2 NA 1 1 22 12 2 2 1 1 21
2742 3 2 1 1 21 NA 2 2 1 1 21
2743 2 NA 1 1 42 NA 2 2 1 1 32
2744 2 1 1 NA NA 2 1 NA 1 NA 65
2744 3 1 1 1 94 NA 1 NA 1 NA 65
2745 2 2 1 NA 64 NA NA NA NA 1 66
2746 2 1 NA 1 61 2 1 2 NA 1 58
2747 2 2 NA 1 35 2 NA 1 NA 1 41
2747 3 NA 6 NA 9 3 NA 1 NA 1 41
2747 4 NA 6 NA NA 3 NA 1 NA 1 41
2748 2 NA NA 1 15 8 2 1 8 NA 87
2749 2 2 NA 1 59 2 NA NA 6 1 64
2750 2 2 1 1 61 2 NA 1 1 1 60
2751 2 NA 6 1 NA 2 NA NA 1 NA 46
2752 2 2 8 1 36 NA 2 2 6 NA 43
2753 2 NA 1 1 NA 2 1 NA NA 1 40
2753 3 2 1 1 NA 5 1 NA NA 1 40
2753 4 2 NA 1 16 5 1 NA NA 1 40
2754 2 NA 1 1 NA 2 NA 1 1 1 48
2754 3 2 8 NA 12 3 NA 1 1 1 48
2754 4 2 NA NA 9 NA NA 1 1 1 48
2755 2 2 NA 1 56 12 NA 1 3 1 58
2756 2 2 NA 1 NA 2 1 1 NA 1 58
2756 3 NA 8 1 16 3 1 1 NA 1 58
2756 4 1 8 1 14 3 1 1 NA 1 58
2757 2 2 NA NA 31 2 NA NA 1 1 31
2758 2 2 1 1 51 2 NA NA 1 NA 56
2758 3 1 1 1 NA 3 NA NA 1 NA 56
2758 4 1 1 1 23 3 NA NA 1 NA 56
2759 2 NA 1 1 73 2 NA 1 1 1 75
2760 2 1 1 1 51 2 1 2 NA 1 51
2760 3 NA 1 1 NA NA 1 2 NA 1 51
2761 2 1 1 1 81 2 1 2 NA NA 75
2762 2 2 1 1 55 2 NA 1 1 1 58
2763 2 NA 1 2 15 3 2 2 NA NA 43
2764 2 1 1 1 NA 2 1 2 1 NA 69
2765 2 NA 2 1 15 NA 2 NA 2 1 36
2765 3 1 NA NA 9 NA 2 NA 2 1 36
2765 4 NA 2 1 4 3 2 NA 2 1 36
2766 2 NA 1 1 NA 2 1 2 NA 1 51
2767 2 2 1 NA 23 3 2 2 1 2 43
2767 3 NA NA NA 17 NA 2 2 1 2 43
2768 2 NA 1 1 59 2 1 1 NA NA 59
2768 3 2 NA 1 20 3 1 1 NA NA 59
2769 2 NA 1 NA NA 2 1 1 1 1 56
2770 2 2 NA 1 NA 2 1 NA NA NA 70
2771 2 2 NA 1 44 NA 2 1 2 1 39
2771 3 NA 2 1 NA 3 2 1 2 1 39
2772 2 NA 1 1 12 NA NA NA 1 1 52
2772 3 1 1 1 50 12 NA NA 1 1 52
2773 2 NA 1 5 66 2 1 NA 1 1 67
2774 2 2 1 NA 14 3 2 2 1 3 45
2774 3 2 1 3 6 3 2 2 1 3 45
2775 2 2 1 2 NA 2 NA 1 1 2 51
2775 3 2 1 NA NA NA NA 1 1 2 51
2776 2 NA 1 2 NA 2 1 NA 1 NA 38
2776 3 NA 1 NA 13 NA 1 NA 1 NA 38
2776 4 1 1 2 NA NA 1 NA 1 NA 38
2777 2 2 2 NA NA NA 2 NA 2 1 42
2777 3 NA 2 NA 18 3 2 NA 2 1 42
2778 2 2 1 1 NA 2 1 1 1 1 51
2778 3 1 1 1 22 3 1 1 1 1 51
2778 4 1 1 1 18 3 1 1 1 1 51
2779 2 1 NA 1 52 2 1 NA 1 1 40
2779 3 1 1 1 7 NA 1 NA 1 1 40
2780 2 2 1 NA 35 2 1 1 NA NA 43
2780 3 2 NA 1 14 3 1 1 NA NA 43
2780 4 2 1 NA 11 NA 1 1 NA NA 43
2781 2 2 NA 2 NA 2 2 1 1 2 29
2781 3 1 1 2 1 NA 2 1 1 2 29
2782 2 2 NA 1 35 NA 1 1 1 1 34
2782 3 1 1 NA NA NA 1 1 1 1 34
2782 4 1 1 1 18 5 1 1 1 1 34
2783 2 2 2 NA 53 NA 2 2 2 NA 68
2784 2 2 2 1 NA NA NA 1 2 1 45
2784 3 2 2 1 12 3 NA 1 2 1 45
2785 2 NA 1 1 28 12 2 2 NA 1 26
2786 2 NA 1 1 45 2 1 NA NA NA 51
2786 3 1 1 NA 11 3 1 NA NA NA 51
2787 2 NA 8 2 27 NA 2 2 NA 2 42
2788 2 NA NA NA NA NA 1 1 NA NA 69
2789 2 2 1 1 NA 2 NA NA 1 NA 69
2790 2 2 1 1 NA 2 1 1 NA NA 74
2791 2 NA 1 1 50 3 1 2 1 1 82
2792 2 1 1 NA NA 2 2 2 1 1 49
2792 3 NA 1 NA 4 3 2 2 1 1 49
2792 4 1 NA NA 18 5 2 2 1 1 49
2793 2 NA NA 1 NA NA 1 1 1 1 82
2794 2 2 NA NA NA 2 1 1 1 1 67
2795 2 2 1 1 NA NA NA NA 1 NA 80
2796 2 2 1 1 NA 2 1 NA NA 1 50
2796 3 1 1 1 17 3 1 NA NA 1 50
2796 4 NA 1 1 NA NA 1 NA NA 1 50
2797 2 NA 1 NA 46 2 1 NA 1 1 59
2798 2 NA 1 1 56 2 NA 2 1 NA 54
2798 3 1 1 1 35 NA NA 2 1 NA 54
2799 2 1 1 1 NA NA 1 2 NA 1 33
2799 3 1 1 1 6 3 1 2 NA 1 33
2799 4 2 NA 1 3 3 1 2 NA 1 33
2800 2 1 NA 2 4 3 2 2 NA NA 32
2801 2 2 1 NA NA NA 1 1 1 1 76
2802 2 2 1 NA NA 2 2 1 1 NA 47
2802 3 2 1 NA 17 NA 2 1 1 NA 47
2803 2 2 1 NA 42 2 1 NA 1 1 46
2803 3 NA 1 1 12 3 1 NA 1 1 46
2803 4 NA 1 1 NA NA 1 NA 1 1 46
2804 2 1 1 NA 30 3 2 2 NA 1 58
2805 2 NA 4 1 34 2 1 2 NA 1 28
2806 2 NA 1 1 42 NA NA 2 1 NA 37
2806 3 1 1 1 4 NA NA 2 1 NA 37
2806 4 2 NA 1 13 5 NA 2 1 NA 37
2807 2 1 1 1 32 12 1 2 1 1 32
2808 2 1 4 1 62 2 1 2 4 1 56
2809 2 1 NA 5 13 3 2 2 NA 3 51
2810 2 2 NA 1 NA 2 NA 1 1 1 49
2810 3 1 1 1 15 NA NA 1 1 1 49
2811 2 2 1 NA NA 2 NA 1 NA 1 63
2812 2 1 1 NA 27 12 1 1 NA 1 31
2813 2 2 1 NA NA 2 NA NA 1 1 46
2813 3 NA NA NA NA NA NA NA 1 1 46
2814 2 2 1 NA 18 3 1 2 1 NA 48
2814 3 2 1 NA NA NA 1 2 1 NA 48
2815 2 2 1 2 NA 3 NA NA NA 2 34
2815 3 2 1 2 NA 3 NA NA NA 2 34
2815 4 1 1 NA 36 NA NA NA NA 2 34
2816 2 1 1 NA 41 2 1 2 7 5 44
2816 3 NA 1 5 19 3 1 2 7 5 44
2817 2 1 NA 1 68 6 1 2 1 1 70
2818 2 NA 1 1 NA 2 1 1 NA 1 75
2818 3 NA 1 1 26 NA 1 1 NA 1 75
2819 2 2 1 5 NA NA 1 NA 1 NA 52
2820 2 1 NA 1 NA 2 1 2 1 1 65
2821 2 2 NA 1 NA 2 1 1 1 NA 34
2821 3 2 NA NA 18 3 1 1 1 NA 34
2821 4 1 NA 1 10 3 1 1 1 NA 34
2822 2 2 NA 1 67 2 1 1 1 NA 70
2823 2 NA 1 NA NA 2 NA NA NA 1 77
2824 2 2 4 1 26 12 1 2 4 NA 31
2825 2 NA 1 1 9 NA 1 2 1 1 28
2825 3 1 1 1 2 3 1 2 1 1 28
2825 4 NA 1 1 22 12 1 2 1 1 28
2826 2 NA NA NA 30 NA NA 1 NA 1 73
2826 3 NA 1 1 12 8 NA 1 NA 1 73
2827 2 NA 2 1 12 NA NA 2 NA NA 29
2827 3 2 NA NA 5 NA NA 2 NA NA 29
2828 2 NA 1 NA 9 3 1 NA 1 1 29
2828 3 1 1 1 5 NA 1 NA 1 1 29
2828 4 1 1 1 32 12 1 NA 1 1 29
2829 2 2 1 1 71 2 2 1 1 NA 92
2830 2 1 NA 1 NA NA 2 2 NA NA 20
2831 2 1 NA 1 NA NA 2 2 NA NA 44
2832 2 2 1 1 NA NA 2 1 1 1 37
2832 3 NA 1 NA 27 NA 2 1 1 1 37
2833 2 2 1 1 74 2 NA 1 1 NA 74
2834 2 2 1 1 66 2 NA 1 NA 1 66
2834 3 NA 1 NA NA 3 NA 1 NA 1 66
2835 2 NA NA NA 30 2 NA 1 NA 1 30
2835 3 2 NA 1 NA 3 NA 1 NA 1 30
2836 2 2 1 1 28 2 1 NA 1 NA 28
2837 2 1 1 1 43 2 1 NA 1 1 42
2837 3 2 1 1 13 NA 1 NA 1 1 42
2837 4 1 NA NA 10 NA 1 NA 1 1 42
2838 2 1 1 1 22 NA 1 2 1 NA 44
2839 2 1 1 1 15 3 1 2 1 NA 36
2839 3 2 1 1 9 3 1 2 1 NA 36
2839 4 NA 1 1 4 3 1 2 1 NA 36
2840 2 1 1 1 NA 2 1 2 1 1 42
2840 3 2 1 NA 18 3 1 2 1 1 42
2840 4 2 1 1 16 3 1 2 1 1 42
2841 2 2 NA 1 68 2 NA NA 1 1 70
2842 2 1 1 NA NA 2 1 NA NA NA 48
2842 3 2 1 NA 12 3 1 NA NA NA 48
2842 4 NA 1 1 8 NA 1 NA NA NA 48
2843 2 2 7 NA NA 2 NA NA 1 2 58
2843 3 NA 7 3 NA 4 NA NA 1 2 58
2844 2 NA 1 1 12 NA NA 2 1 NA 41
2844 3 2 1 NA 10 3 NA 2 1 NA 41
2845 2 1 NA 1 53 3 NA 2 1 NA 81
2846 2 2 1 1 46 NA 1 2 1 1 72
2847 2 1 1 1 4 3 NA 1 1 NA 25
2847 3 2 1 1 24 12 NA 1 1 NA 25
2848 2 2 1 1 NA 2 1 1 1 NA 49
2848 3 NA 1 1 NA 3 1 1 1 NA 49
2848 4 2 1 2 13 3 1 1 1 NA 49
2849 2 1 2 1 NA 3 2 NA 2 1 36
2850 2 2 1 1 47 NA 1 NA 1 1 51
2850 3 1 1 1 19 NA 1 NA 1 1 51
2850 4 2 1 1 NA 3 1 NA 1 1 51
2851 2 2 NA NA 19 11 1 1 2 1 37
2852 2 2 NA NA NA 2 NA 1 1 1 41
2853 2 2 1 1 48 2 1 1 1 1 46
2854 2 1 1 1 68 2 NA NA 1 1 75
2854 3 NA NA 1 54 3 NA NA 1 1 75
2855 2 1 NA NA 9 NA NA NA 1 3 42
2855 3 1 1 3 6 3 NA NA 1 3 42
2855 4 2 1 1 33 NA NA NA 1 3 42
2856 2 2 2 1 75 NA NA 1 2 NA 75
2857 2 NA 1 1 NA 2 NA 2 1 1 60
2858 2 NA 1 NA 70 2 1 2 NA NA 78
2859 2 NA NA 5 NA NA NA NA 1 5 39
2859 3 NA NA 5 13 NA NA NA 1 5 39
2859 4 2 1 5 34 12 NA NA 1 5 39
2860 2 1 1 NA 37 2 NA 2 NA NA 39
2861 2 NA NA 1 NA NA 1 1 1 1 73
2862 2 1 NA 2 8 3 1 NA 1 2 37
2862 3 2 NA 5 39 12 1 NA 1 2 37
2863 2 1 3 1 NA 2 1 2 NA 1 28
2864 2 NA 1 1 NA 2 1 1 1 NA 66
2864 3 NA 1 1 37 NA 1 1 1 NA 66
2865 2 2 1 NA 82 NA 1 1 1 1 79
2866 2 2 1 1 45 NA 2 NA 1 NA 67
2866 3 1 1 NA 9 NA 2 NA 1 NA 67
2867 2 1 1 1 53 2 1 2 NA NA 51
2868 2 2 1 1 24 NA 2 2 1 1 25
2869 2 NA 7 NA NA 2 2 NA 1 1 47
2870 2 NA 1 1 NA 2 NA NA 1 1 35
2870 3 NA NA NA 12 NA NA NA 1 1 35
2871 2 NA 1 1 NA 2 1 NA NA 1 51
2871 3 NA NA NA 5 NA 1 NA NA 1 51
2872 2 2 1 1 68 2 1 1 1 1 79
2873 2 NA NA 3 77 NA 2 1 7 3 26
2874 2 NA 7 NA NA 3 2 2 7 5 39
2874 3 2 7 5 6 3 2 2 7 5 39
2875 2 NA 1 1 NA 2 NA NA NA NA 66
2876 2 1 NA 1 NA 2 NA 2 NA 1 39
2876 3 1 7 1 4 NA NA 2 NA 1 39
2877 2 NA NA 1 NA 2 NA NA NA NA 60
2878 2 2 1 1 43 2 1 1 1 NA 45
2878 3 2 1 NA 19 3 1 1 1 NA 45
2878 4 1 NA 1 NA 3 1 1 1 NA 45
2879 2 2 NA 1 NA 2 1 NA 1 1 25
2879 3 2 1 1 4 3 1 NA 1 1 25
2879 4 2 NA NA NA 3 1 NA 1 1 25
2880 2 1 NA 1 57 2 NA NA 1 NA 58
2881 2 1 1 1 60 2 1 NA NA NA 63
2882 2 NA 1 1 28 12 NA 2 NA 2 25
2882 3 1 1 NA 26 12 NA 2 NA 2 25
2883 2 1 1 1 30 2 1 NA 1 1 28
2883 3 1 1 1 5 NA 1 NA 1 1 28
2883 4 1 NA 1 NA 3 1 NA 1 1 28
2884 2 2 1 1 48 2 NA 1 1 NA 63
2884 3 2 NA 1 NA 3 NA 1 1 NA 63
2884 4 NA 1 1 25 5 NA 1 1 NA 63
2885 2 NA 1 1 NA 2 1 NA NA NA 55
2885 3 2 NA 1 NA 3 1 NA NA NA 55
2885 4 NA 1 1 12 3 1 NA NA NA 55
2886 2 2 1 1 72 NA 1 NA 1 NA 77
2887 2 NA NA 2 NA 2 1 1 1 2 33
2887 3 NA 1 NA 29 6 1 1 1 2 33
2887 4 1 1 NA NA 7 1 1 1 2 33
2888 2 2 1 NA NA NA 1 NA 1 1 86
2889 2 2 6 1 NA 2 1 1 6 1 47
2889 3 1 NA 1 56 12 1 1 6 1 47
2889 4 NA NA 2 44 12 1 1 6 1 47
2890 2 1 1 NA NA 2 1 NA 1 1 63
2891 2 2 1 1 66 2 2 1 1 NA 68
2892 2 NA 1 1 28 3 1 2 NA 1 59
2893 2 NA NA NA 62 2 1 NA 1 NA 69
2893 3 2 NA 1 19 4 1 NA 1 NA 69
2894 2 NA 1 1 NA 2 1 NA 1 NA 42
2894 3 1 1 NA NA NA 1 NA 1 NA 42
2894 4 2 1 1 6 3 1 NA 1 NA 42
2895 2 NA 1 1 66 2 1 1 1 1 69
2896 2 NA 1 1 NA NA 1 1 1 1 73
2897 2 2 1 2 NA 2 1 1 NA 2 40
2897 3 1 NA 2 NA 3 1 1 NA 2 40
2897 4 1 1 2 11 3 1 1 NA 2 40
2898 2 1 NA 1 6 3 2 NA NA 1 31
2898 3 1 1 1 3 NA 2 NA NA 1 31
2898 4 2 1 NA 27 12 2 NA NA 1 31
2899 2 1 2 NA 16 3 2 2 NA NA 47
2900 2 2 1 1 28 3 1 NA NA NA 63
2901 2 1 2 1 NA NA 1 2 NA NA 38
2901 3 2 NA 1 NA NA 1 2 NA NA 38
2901 4 NA 2 1 NA 3 1 2 NA NA 38
2902 2 1 2 NA 63 2 NA NA 2 1 61
2903 2 1 9 1 75 12 2 1 9 1 27
2904 2 2 NA 1 54 2 1 NA 1 1 58
2904 3 1 1 1 12 3 1 NA 1 1 58
2904 4 NA 1 1 NA NA 1 NA 1 1 58
2905 2 2 NA NA 64 2 1 1 1 1 68
2906 2 NA 2 NA 54 2 1 2 2 1 61
2907 2 2 NA 1 NA 2 NA 1 NA NA 67
2907 3 1 1 1 27 3 NA 1 NA NA 67
2908 2 1 NA 1 55 2 1 2 1 NA 56
2908 3 1 1 1 13 3 1 2 1 NA 56
2909 2 2 NA 1 4 3 1 1 NA NA 30
2909 3 NA NA NA 34 12 1 1 NA NA 30
2909 4 2 NA 1 9 NA 1 1 NA NA 30
2910 2 2 NA 1 69 2 1 1 1 1 69
2910 3 NA 1 1 47 3 1 1 1 1 69
2911 2 2 NA NA NA 2 1 1 1 1 74
2912 2 NA NA 1 72 2 NA 2 NA NA 65
2913 2 NA NA 1 49 NA 1 1 1 NA 42
2913 3 1 1 1 85 13 1 1 1 NA 42
2913 4 NA 1 NA 78 13 1 1 1 NA 42
2914 2 1 1 1 NA NA 2 2 3 NA 70
2915 2 NA 1 1 56 2 1 2 1 NA 51
2916 2 2 1 NA NA NA 1 1 NA 1 63
2917 2 NA 1 NA NA 2 1 1 1 1 64
2918 2 NA 2 NA 14 3 1 2 2 1 37
2918 3 1 NA 1 12 3 1 2 2 1 37
2919 2 2 1 1 47 12 NA NA 1 NA 57
2920 2 1 1 1 45 12 2 2 1 1 54
2921 2 1 1 NA NA 2 1 2 NA 1 67
2921 3 1 NA NA 32 3 1 2 NA 1 67
2922 2 1 1 1 34 3 NA 2 1 1 65
2923 2 1 1 1 49 12 NA 1 NA 1 53
2923 3 NA 1 1 41 12 NA 1 NA 1 53
2924 2 1 1 NA NA NA 2 2 1 1 29
2924 3 NA 1 1 5 3 2 2 1 1 29
2924 4 NA 1 1 1 NA 2 2 1 1 29
2925 2 NA 1 NA 10 NA 2 NA 1 NA 30
2925 3 1 NA NA 8 3 2 NA 1 NA 30
2925 4 1 1 2 32 12 2 NA 1 NA 30
2926 2 1 1 NA 41 2 1 2 1 1 41
2926 3 2 1 1 NA 3 1 2 1 1 41
2926 4 NA 1 1 9 3 1 2 1 1 41
2927 2 1 1 NA 65 6 1 2 1 4 71
2927 3 1 1 NA 28 8 1 2 1 4 71
2928 2 NA NA NA 60 2 1 1 1 1 73
2929 2 1 7 2 51 NA 1 NA NA NA 51
2929 3 2 7 NA NA 3 1 NA NA NA 51
2930 2 2 6 NA 29 2 2 1 6 1 30
2931 2 NA 1 1 NA 2 1 1 1 1 66
2932 2 NA NA 1 2 NA 1 NA 1 1 33
2932 3 NA NA 1 34 12 1 NA 1 1 33
2933 2 2 5 NA NA 2 1 NA NA NA 52
2933 3 2 8 1 14 3 1 NA NA NA 52
2934 2 2 1 1 24 2 1 NA 1 NA 23
2934 3 NA 1 1 2 NA 1 NA 1 NA 23
2935 2 NA 1 NA 35 13 NA 1 NA 1 74
2936 2 1 1 1 19 NA NA 2 NA NA 89
2937 2 2 NA NA NA 2 NA 1 8 1 65
2937 3 NA 1 1 17 8 NA 1 8 1 65
2938 2 NA NA 1 42 2 NA NA 1 1 38
2939 2 1 NA 1 60 12 1 2 1 NA 58
2940 2 NA NA 1 72 NA 1 NA 1 1 69
2941 2 2 NA 1 NA NA 1 1 1 1 84
2942 2 1 1 1 9 8 NA NA 1 1 52
2942 3 1 1 NA 9 8 NA NA 1 1 52
2943 2 2 2 1 20 NA NA 2 2 1 57
2943 3 1 NA NA 21 11 NA 2 2 1 57
2944 2 2 2 NA 29 2 NA 1 2 NA 41
2944 3 2 NA 1 2 NA NA 1 2 NA 41
2944 4 2 NA 1 53 13 NA 1 2 NA 41
2945 2 2 1 1 34 2 1 NA 1 1 35
2945 3 2 1 1 2 4 1 NA 1 1 35
2946 2 NA NA 4 NA NA NA 1 NA NA 74
2947 2 1 1 1 69 2 1 2 1 1 65
2948 2 NA 1 1 49 2 NA 2 1 1 63
2949 2 2 1 NA 31 2 1 1 1 2 31
2950 2 2 4 1 24 NA 2 1 4 1 24
2951 2 NA 1 1 NA 2 1 1 1 1 46
2951 3 NA 1 NA NA 3 1 1 1 1 46
2952 2 2 1 1 76 NA 1 2 1 1 78
2953 2 2 1 NA NA 2 1 NA NA 1 39
2953 3 1 NA 1 15 NA 1 NA NA 1 39
2953 4 1 1 1 11 NA 1 NA NA 1 39
2954 2 2 1 5 8 3 2 1 1 NA 35
2954 3 1 1 5 3 3 2 1 1 NA 35
2954 4 NA 1 NA 34 12 2 1 1 NA 35
2955 2 2 2 1 17 3 NA NA 1 1 54
2955 3 1 2 NA 15 3 NA NA 1 1 54
2955 4 NA NA 1 56 6 NA NA 1 1 54
2956 2 NA NA 1 NA NA NA 1 1 1 87
2957 2 2 NA 1 57 2 1 1 NA 1 59
2958 2 2 NA 1 14 8 NA 2 1 1 60
2958 3 2 1 NA 12 NA NA 2 1 1 60
2959 2 NA 1 2 NA 2 1 1 1 2 62
2959 3 1 1 2 18 8 1 1 1 2 62
2960 2 2 1 NA 31 2 2 NA NA NA 33
2960 3 1 1 NA 5 3 2 NA NA NA 33
2960 4 2 NA NA 3 NA 2 NA NA NA 33
2961 2 1 NA NA 64 2 NA NA NA NA 70
2962 2 2 1 1 NA 2 1 1 NA 1 56
2962 3 NA NA 1 23 3 1 1 NA 1 56
2962 4 2 1 1 20 NA 1 1 NA 1 56
2963 2 1 NA 1 42 2 1 2 1 NA 43
2963 3 1 1 2 9 3 1 2 1 NA 43
2963 4 1 1 2 NA NA 1 2 1 NA 43
2964 2 2 1 2 28 NA 2 2 1 2 51
2964 3 2 1 2 4 8 2 2 1 2 51
2965 2 NA NA 1 NA NA 1 1 1 1 69
2966 2 2 NA 2 55 NA 1 NA NA NA 51
2966 3 1 1 2 24 3 1 NA NA NA 51
2967 2 2 1 1 46 2 1 1 NA NA 47
2967 3 2 1 NA 20 NA 1 1 NA NA 47
2967 4 1 1 1 NA 3 1 1 NA NA 47
2968 2 1 1 NA NA NA 1 2 1 1 74
2968 3 2 NA NA NA 3 1 2 1 1 74
2969 2 NA NA NA 47 3 1 2 1 1 85
2969 3 1 1 4 10 8 1 2 1 1 85
2970 2 1 1 NA NA 2 1 2 NA 1 62
2970 3 NA NA 1 39 3 1 2 NA 1 62
2970 4 1 8 1 20 NA 1 2 NA 1 62
2971 2 NA NA NA NA 2 NA 1 1 1 50
2972 2 NA 1 1 NA 2 NA 1 NA 1 49
2973 2 1 NA 1 NA 2 1 2 1 1 85
2974 2 NA 1 1 NA NA 1 1 1 NA 63
2975 2 1 1 1 NA 7 NA NA 1 1 46
2976 2 NA 7 NA 35 3 1 2 NA NA 77
2976 3 2 NA NA 9 8 1 2 NA NA 77
2977 2 2 1 NA NA 2 1 1 NA 1 68
2977 3 NA 1 1 90 NA 1 1 NA 1 68
2978 2 NA 1 1 NA NA NA 1 NA 1 47
2978 3 NA 1 1 4 NA NA 1 NA 1 47
2979 2 2 1 1 NA 2 2 1 1 1 33
2979 3 NA 1 NA 7 3 2 1 1 1 33
2979 4 1 1 1 5 3 2 1 1 1 33
2980 2 2 NA 1 NA NA NA 1 NA 1 34
2980 3 NA NA 1 4 3 NA 1 NA 1 34
2980 4 NA 1 1 2 NA NA 1 NA 1 34
2981 2 NA 1 NA 77 NA 1 2 1 1 74
2982 2 NA 6 NA 14 3 1 2 NA NA 37
2982 3 1 NA NA 48 12 1 2 NA NA 37
2983 2 1 1 NA NA 2 2 2 1 1 54
2984 2 2 1 1 40 2 2 NA 1 NA 58
2984 3 1 1 NA 18 5 2 NA 1 NA 58
2985 2 NA NA 1 NA 2 1 1 1 1 64
2985 3 NA 1 1 26 NA 1 1 1 1 64
2986 2 2 1 NA NA 2 1 1 1 1 81
2987 2 1 NA 1 15 NA 1 NA NA 1 53
2987 3 1 1 1 13 NA 1 NA NA 1 53
2988 2 NA 2 1 58 13 2 NA 8 1 66
2988 3 NA 2 1 58 13 2 NA 8 1 66
2989 2 NA 1 1 30 NA NA NA NA 1 33
2990 2 1 1 1 NA 2 1 NA 1 1 60
2991 2 1 7 NA 5 3 1 2 NA 5 42
2991 3 1 7 5 3 3 1 2 NA 5 42
2992 2 1 1 NA NA 2 1 NA 1 NA 41
2992 3 1 1 NA 10 3 1 NA 1 NA 41
2992 4 1 1 1 NA NA 1 NA 1 NA 41
2993 2 1 1 NA NA 2 1 2 NA NA 51
2993 3 2 1 NA 19 3 1 2 NA NA 51
2993 4 2 1 1 NA 3 1 2 NA NA 51
2994 2 2 1 1 NA 2 NA 1 1 1 71
2995 2 1 NA NA NA 2 1 NA 1 NA 54
2996 2 NA 1 1 51 2 1 NA 1 1 52
2996 3 NA 1 NA 24 3 1 NA 1 1 52
2997 2 2 1 1 NA 2 1 1 NA 1 30
2998 2 NA 1 2 18 NA NA 2 1 5 37
2998 3 NA 1 NA 15 3 NA 2 1 5 37
2999 2 1 NA 1 NA NA 1 2 1 1 46
2999 3 2 1 NA 13 NA 1 2 1 1 46
2999 4 NA NA 1 11 NA 1 2 1 1 46
3000 2 NA 6 1 50 2 1 1 NA 1 58
3000 3 2 6 1 NA 3 1 1 NA 1 58
3001 2 NA 1 5 5 NA 2 NA 1 5 30
3001 3 1 1 5 NA 3 2 NA 1 5 30
3001 4 2 1 5 35 12 2 NA 1 5 30
3002 2 NA 1 1 NA 2 NA 2 1 1 41
3003 2 1 NA 1 NA 2 2 2 2 1 39
3003 3 2 2 1 NA 3 2 2 2 1 39
