"id"	"sire"	"dam"	"sex"	"gen"	"birth"	"exit"	"age"
"BNMWNZ"	"DZ3B9K"	"BRLQFI"	"F"	4	1999-10-01	2014-07-25	14.8
"6EBYMM"	"48YAZ5"	"R34BVI"	"F"	4	2005-12-26	NA	13.5
"5I9OO3"	"YRCQFO"	"JUMNN0"	"F"	4	2007-10-21	NA	11.7
"CQC133"	"DO4NKS"	"8IJUQO"	"F"	4	2012-06-05	NA	7
"ZC5SCR"	"2YGWN0"	"1FRJ3E"	"F"	4	2013-01-27	NA	6.4
"218FOV"	"1MDPFZ"	"Z4HGIR"	"F"	4	2013-03-17	NA	6.3
"2IXJ2N"	"4UTH8P"	"CV1SHY"	"F"	4	2013-05-21	NA	6.1
"CAST4W"	"GHH9LB"	"RSROMX"	"F"	4	2013-06-02	NA	6
"JGPN6K"	"WMUJC5"	"MF8X1C"	"F"	4	2013-07-02	NA	6
"HOYW0S"	"NPK1YN"	"ALAJPM"	"F"	4	2013-08-04	NA	5.9
"DD1U77"	"MPR81X"	"Q444GQ"	"F"	4	2014-03-31	NA	5.2
"0DAV0I"	"HP3E04"	"95U2JO"	"M"	4	2014-10-23	NA	4.7
"HLI95R"	"WMUJC5"	"AXDMJM"	"F"	4	2015-01-14	NA	4.4
"TZ5NUB"	"8UJYVM"	"BDI7N7"	"F"	4	2015-02-08	NA	4.4
"DR5GXB"	"V8VU31"	"SAAU6D"	"F"	4	2015-02-23	NA	4.3
"EUG3WE"	"MPR81X"	"80EOVS"	"F"	4	2015-01-22	NA	4.4
"FHV13N"	"IEHCFK"	"KCOUSL"	"F"	4	2015-03-21	NA	4.2
"OUM6QF"	"IEHCFK"	"ALAJPM"	"F"	4	2015-05-27	NA	4.1
"6Z7MD9"	"8UJYVM"	"2ENDCF"	"F"	4	2015-08-26	NA	3.8
"309VM2"	"1MDPFZ"	"9UAWP7"	"F"	4	2016-05-19	NA	3.1
"8KM1MP"	"YRCQFO"	"6EBYMM"	"F"	5	2013-05-22	NA	6.1
"I9TQ0T"	"CN4GMN"	"BNMWNZ"	"F"	5	2014-02-09	NA	5.4
"INGWI7"	"MPR81X"	"5I9OO3"	"F"	5	2015-10-24	NA	3.7
